game_id,season,week,market,selection,line,odds,model_probability,edge,outcome,profit
2016_04_DAL_SF,2016,4,spread,home,1.0,105.0,0.5302988270746976,0.04249394902591708,lost,-1.0
2016_04_DAL_SF,2016,4,total_points,under,44.0,102.0,0.6086450721910042,0.11359556724050912,won,1.02
2016_04_DEN_TB,2016,4,total_points,over,43.0,-104.0,0.5567730792862049,0.04696915771757748,lost,-1.0
2016_04_DET_CHI,2016,4,moneyline,home,,159.0,0.5151116382911195,0.1290112521907334,won,1.59
2016_04_DET_CHI,2016,4,spread,home,3.0,112.0,0.5985973490273345,0.12689923581978735,won,1.12
2016_04_DET_CHI,2016,4,total_points,under,48.0,102.0,0.5457328243156242,0.050683319365129154,won,1.02
2016_04_KC_PIT,2016,4,moneyline,away,,159.0,0.4692084445977897,0.0831080584974036,lost,-1.0
2016_04_KC_PIT,2016,4,spread,away,3.0,111.0,0.5577696103770493,0.08383596108794977,lost,-1.0
2016_04_KC_PIT,2016,4,total_points,under,48.0,-107.0,0.6273565870555056,0.11044837449511913,lost,-1.0
2016_04_LA_ARI,2016,4,moneyline,away,,357.0,0.27657410601120086,0.057755725267218366,won,3.57
2016_04_LA_ARI,2016,4,total_points,over,43.5,101.0,0.5709703467244746,0.07345790891352927,lost,-1.0
2016_04_NO_SD,2016,4,moneyline,away,,176.0,0.4276817024203736,0.06536286184066348,won,1.76
2016_04_NO_SD,2016,4,spread,away,4.0,-102.0,0.5434993786481657,0.03854888359866071,won,0.9803921568627451
2016_04_NO_SD,2016,4,total_points,under,54.0,-105.0,0.5874790877904924,0.07528396583927288,lost,-1.0
2016_04_OAK_BAL,2016,4,moneyline,away,,166.0,0.4585131457460851,0.08257329612202496,won,1.66
2016_04_OAK_BAL,2016,4,spread,away,3.5,-110.0,0.5612681477906921,0.03745862398116828,won,0.9090909090909091
2016_04_SEA_NYJ,2016,4,total_points,over,40.0,-105.0,0.5691865339255331,0.056991411974313566,won,0.9523809523809523
2016_04_TEN_HOU,2016,4,spread,home,-4.0,-105.0,0.5653068632460096,0.05311174129479013,won,0.9523809523809523
2016_04_NYG_MIN,2016,4,total_points,over,42.5,-103.0,0.5980637546168656,0.09067459205528916,lost,-1.0
2016_05_ARI_SF,2016,5,spread,away,-3.5,-106.0,0.6161882604355651,0.10162515363944857,won,0.9433962264150944
2016_05_ARI_SF,2016,5,total_points,over,42.5,-100.0,0.558042697457562,0.058042697457561965,won,1.0
2016_05_BUF_LA,2016,5,moneyline,home,,116.0,0.5113364315256077,0.04837346856264474,lost,-1.0
2016_05_BUF_LA,2016,5,spread,home,2.5,-105.0,0.5762987412937456,0.06410361934252606,lost,-1.0
2016_05_CHI_IND,2016,5,moneyline,away,,181.0,0.43759924069431,0.08172735457331354,lost,-1.0
2016_05_CHI_IND,2016,5,spread,away,4.0,-105.0,0.558272655708577,0.04607753375735746,lost,-1.0
2016_05_CIN_DAL,2016,5,moneyline,away,,-127.0,0.6068780596942837,0.04740669405551712,lost,-1.0
2016_05_CIN_DAL,2016,5,total_points,under,46.0,-105.0,0.6346141268446899,0.12241900489347035,won,0.9523809523809523
2016_05_HOU_MIN,2016,5,moneyline,away,,222.0,0.37474279175847647,0.06418378554729637,lost,-1.0
2016_05_HOU_MIN,2016,5,spread,away,6.0,-105.0,0.5535154586232663,0.04132033667204682,lost,-1.0
2016_05_NE_CLE,2016,5,moneyline,home,,385.0,0.285406363838193,0.07922079682788374,lost,-1.0
2016_05_NE_CLE,2016,5,spread,home,10.0,-110.0,0.5605404538696624,0.03673093006013861,lost,-1.0
2016_05_NE_CLE,2016,5,total_points,under,47.5,102.0,0.5721161432328251,0.07706663828233007,won,1.02
2016_05_NYG_GB,2016,5,moneyline,away,,271.0,0.3755333179208241,0.1059915389450829,lost,-1.0
2016_05_NYG_GB,2016,5,spread,away,7.0,-110.0,0.576861460322884,0.053051936513360154,push,0.0
2016_05_NYJ_PIT,2016,5,moneyline,away,,338.0,0.3762434002473265,0.1479328979642215,lost,-1.0
2016_05_NYJ_PIT,2016,5,spread,away,10.0,-123.0,0.6633953372416137,0.11182583051515627,lost,-1.0
2016_05_NYJ_PIT,2016,5,total_points,under,50.0,-102.0,0.6438581685745978,0.1389076735250928,won,0.9803921568627451
2016_05_PHI_DET,2016,5,moneyline,home,,166.0,0.511262422617819,0.13532257299375883,won,1.66
2016_05_PHI_DET,2016,5,spread,home,3.5,-108.0,0.6072456198977023,0.08801485066693304,won,0.9259259259259259
2016_05_PHI_DET,2016,5,total_points,over,46.0,-100.0,0.5584079795765803,0.05840797957658028,won,1.0
2016_05_SD_OAK,2016,5,moneyline,away,,166.0,0.4216025499585471,0.045662700334486994,lost,-1.0
2016_05_SD_OAK,2016,5,total_points,under,50.5,-102.0,0.5766303636183719,0.07167986856886699,lost,-1.0
2016_05_TEN_MIA,2016,5,total_points,under,44.5,-103.0,0.5648848612478956,0.05749569868631921,lost,-1.0
2016_05_WAS_BAL,2016,5,moneyline,away,,175.0,0.4852389508858888,0.12160258724952516,won,1.75
2016_05_WAS_BAL,2016,5,spread,away,4.0,-108.0,0.6066626708646639,0.08743190163389458,won,0.9259259259259259
2016_05_TB_CAR,2016,5,spread,home,-6.0,-103.0,0.6287303878271302,0.1213412252655538,lost,-1.0
2016_05_TB_CAR,2016,5,total_points,over,46.5,105.0,0.6006705802321949,0.11286570218341441,lost,-1.0
2016_06_ATL_SEA,2016,6,moneyline,away,,266.0,0.3356517669238211,0.06242772320797407,lost,-1.0
2016_06_BAL_NYG,2016,6,moneyline,away,,171.0,0.4250767550279197,0.05607306499101933,lost,-1.0
2016_06_BAL_NYG,2016,6,total_points,over,42.5,-108.0,0.6190453880941831,0.0998146188634138,won,0.9259259259259259
2016_06_CAR_NO,2016,6,moneyline,away,,-139.0,0.6364795845286476,0.05488962636965178,lost,-1.0
2016_06_CAR_NO,2016,6,spread,away,-2.5,-117.0,0.5767756286264494,0.037605121714006984,lost,-1.0
2016_06_CIN_NE,2016,6,moneyline,away,,293.0,0.39227460075698994,0.13782167454833855,lost,-1.0
2016_06_CIN_NE,2016,6,spread,away,7.5,-117.0,0.615288561787019,0.07611805487457657,lost,-1.0
2016_06_CIN_NE,2016,6,total_points,under,48.5,-103.0,0.6333697644580435,0.1259806018964671,lost,-1.0
2016_06_CLE_TEN,2016,6,moneyline,away,,285.0,0.3817700053707021,0.12202974563044239,lost,-1.0
2016_06_CLE_TEN,2016,6,spread,away,7.5,-108.0,0.6052249707192764,0.08599420148850712,won,0.9259259259259259
2016_06_DAL_GB,2016,6,total_points,under,47.0,-107.0,0.6552357451518919,0.13832753259150543,won,0.9345794392523364
2016_06_IND_HOU,2016,6,total_points,under,47.5,-110.0,0.6089734613012265,0.0851639374917027,lost,-1.0
2016_06_JAX_CHI,2016,6,total_points,over,46.0,-102.0,0.5496886873927664,0.044738192343261485,lost,-1.0
2016_06_LA_DET,2016,6,spread,away,2.5,111.0,0.5169543263382381,0.04302067704913859,lost,-1.0
2016_06_PHI_WAS,2016,6,moneyline,home,,136.0,0.5482834015429462,0.12455458798362418,won,1.36
2016_06_PHI_WAS,2016,6,spread,home,3.0,-109.0,0.6306768948039172,0.10914579432544835,won,0.9174311926605505
2016_06_PHI_WAS,2016,6,total_points,over,45.0,-110.0,0.583251984952806,0.05944246114328211,won,0.9090909090909091
2016_06_PIT_MIA,2016,6,moneyline,home,,269.0,0.36109659709091857,0.09009388706381832,won,2.69
2016_06_PIT_MIA,2016,6,spread,home,7.5,-117.0,0.579254937945987,0.04008443103354464,won,0.8547008547008547
2016_06_PIT_MIA,2016,6,total_points,under,49.5,-105.0,0.6440728314624751,0.13187770951125555,won,0.9523809523809523
2016_06_SF_BUF,2016,6,total_points,under,44.0,102.0,0.5460637851935762,0.05101428024308119,lost,-1.0
2016_06_NYJ_ARI,2016,6,moneyline,away,,305.0,0.32125096004500686,0.0743373797980933,lost,-1.0
2016_07_CHI_GB,2016,7,moneyline,away,,293.0,0.3296942033344745,0.07524127712582312,lost,-1.0
2016_07_CHI_GB,2016,7,total_points,under,46.5,-113.0,0.5858588052997379,0.05534237337485526,won,0.8849557522123894
2016_07_BAL_NYJ,2016,7,moneyline,home,,-123.0,0.6171442804906269,0.06557477376416943,won,0.8130081300813008
2016_07_BAL_NYJ,2016,7,spread,home,-2.0,-107.0,0.5608346270553712,0.0439264144949848,won,0.9345794392523364
2016_07_BAL_NYJ,2016,7,total_points,over,40.5,106.0,0.5659836684691258,0.08054677526524234,lost,-1.0
2016_07_BUF_MIA,2016,7,total_points,under,46.0,-112.0,0.563810478067113,0.03550859127466022,lost,-1.0
2016_07_CLE_CIN,2016,7,moneyline,away,,480.0,0.22267068616666072,0.05025689306321243,lost,-1.0
2016_07_CLE_CIN,2016,7,total_points,under,46.5,-110.0,0.5763981930483218,0.052588669238798014,lost,-1.0
2016_07_IND_TEN,2016,7,moneyline,away,,175.0,0.4699136572026684,0.10627729356630478,won,1.75
2016_07_IND_TEN,2016,7,spread,away,4.0,-104.0,0.5914170354218001,0.08161311385317271,won,0.9615384615384616
2016_07_IND_TEN,2016,7,total_points,under,48.5,-108.0,0.5717111958215547,0.052480426590785445,lost,-1.0
2016_07_MIN_PHI,2016,7,total_points,over,39.0,-105.0,0.6460053614602266,0.13381023950900706,lost,-1.0
2016_07_NE_PIT,2016,7,moneyline,home,,260.0,0.5073867872276161,0.2296090094498383,lost,-1.0
2016_07_NE_PIT,2016,7,spread,home,7.5,-123.0,0.7138649496454825,0.1622954429190251,lost,-1.0
2016_07_NE_PIT,2016,7,total_points,under,49.0,-123.0,0.5871949139608598,0.03562540723440233,won,0.8130081300813008
2016_07_NO_KC,2016,7,spread,home,-6.0,-103.0,0.5474376525572812,0.04004848999570476,push,0.0
2016_07_NYG_LA,2016,7,moneyline,home,,131.0,0.5540879969244269,0.121187564023994,lost,-1.0
2016_07_NYG_LA,2016,7,spread,home,3.0,-115.0,0.6371395072289112,0.10225578629867871,lost,-1.0
2016_07_NYG_LA,2016,7,total_points,over,44.5,102.0,0.5561318627109901,0.06108235776049509,lost,-1.0
2016_07_SD_ATL,2016,7,total_points,under,52.5,-104.0,0.6380823156570314,0.12827839408840402,lost,-1.0
2016_07_WAS_DET,2016,7,total_points,under,50.0,-103.0,0.5597794459087387,0.052390283347162336,won,0.970873786407767
2016_07_HOU_DEN,2016,7,moneyline,away,,334.0,0.37260912589716366,0.14219437935338486,lost,-1.0
2016_07_HOU_DEN,2016,7,spread,away,8.5,-107.0,0.6281576524067756,0.11124943984638913,lost,-1.0
2016_08_JAX_TEN,2016,8,total_points,over,43.5,-107.0,0.604048697135213,0.0871404845748266,won,0.9345794392523364
2016_08_ARI_CAR,2016,8,spread,away,2.5,-100.0,0.538682899598663,0.038682899598663,lost,-1.0
2016_08_ARI_CAR,2016,8,total_points,over,45.5,-106.0,0.6068713389975045,0.09230823220138795,won,0.9433962264150944
2016_08_DET_HOU,2016,8,moneyline,home,,-109.0,0.5831375981612417,0.06160649768277282,won,0.9174311926605505
2016_08_DET_HOU,2016,8,spread,home,-1.0,-101.0,0.5490960931025212,0.046608530913466395,won,0.9900990099009901
2016_08_DET_HOU,2016,8,total_points,under,46.5,-105.0,0.5904053732705948,0.07821025131937531,won,0.9523809523809523
2016_08_GB_ATL,2016,8,moneyline,away,,139.0,0.46845595052980865,0.050045908688804486,lost,-1.0
2016_08_GB_ATL,2016,8,spread,away,3.0,-106.0,0.5558261099613979,0.04126300316528142,won,0.9433962264150944
2016_08_GB_ATL,2016,8,total_points,under,51.0,-105.0,0.6589551596260357,0.14676003767481616,lost,-1.0
2016_08_KC_IND,2016,8,total_points,under,50.5,-105.0,0.6250442573783631,0.11284913542714359,won,0.9523809523809523
2016_08_NE_BUF,2016,8,moneyline,home,,210.0,0.457447562408392,0.1348669172471017,lost,-1.0
2016_08_NE_BUF,2016,8,spread,home,5.5,-105.0,0.6085630577198704,0.09636793576865088,lost,-1.0
2016_08_NE_BUF,2016,8,total_points,under,48.0,-113.0,0.5713777463747248,0.0408613144498422,lost,-1.0
2016_08_NYJ_CLE,2016,8,moneyline,away,,-134.0,0.6143658950588408,0.04171632240926815,won,0.746268656716418
2016_08_NYJ_CLE,2016,8,total_points,under,45.5,-103.0,0.5471993424813429,0.03981017991976654,lost,-1.0
2016_08_PHI_DAL,2016,8,moneyline,away,,201.0,0.48549901480634483,0.15327310118508236,lost,-1.0
2016_08_PHI_DAL,2016,8,spread,away,5.0,-102.0,0.6338285885277135,0.12887809347820856,lost,-1.0
2016_08_SD_DEN,2016,8,spread,home,-3.5,102.0,0.5766474746055884,0.08159796965509336,won,1.02
2016_08_SEA_NO,2016,8,moneyline,away,,-105.0,0.626804288441903,0.11460916649068342,lost,-1.0
2016_08_SEA_NO,2016,8,spread,away,-1.0,102.0,0.6002710071880942,0.10522150223759918,lost,-1.0
2016_08_WAS_CIN,2016,8,moneyline,home,,-150.0,0.6383911123461868,0.03839111234618686,push,0.0
2016_08_WAS_CIN,2016,8,spread,home,-3.0,-105.0,0.5568498411481116,0.04465471919689212,lost,-1.0
2016_08_WAS_CIN,2016,8,total_points,under,49.0,-113.0,0.617351528970178,0.08683509704529535,lost,-1.0
2016_08_MIN_CHI,2016,8,moneyline,home,,205.0,0.3918297849341179,0.06396093247510154,won,2.05
2016_08_MIN_CHI,2016,8,total_points,over,39.5,-103.0,0.5508657538180423,0.04347659125646586,lost,-1.0
2016_09_ATL_TB,2016,9,moneyline,home,,184.0,0.4623092961504571,0.11019662009411912,lost,-1.0
2016_09_ATL_TB,2016,9,spread,home,4.5,-107.0,0.5912320044198283,0.07432379185944182,lost,-1.0
2016_09_CAR_LA,2016,9,spread,away,-3.0,108.0,0.5344949067853397,0.05372567601610895,push,0.0
2016_09_CAR_LA,2016,9,total_points,over,44.5,-110.0,0.5624364624641702,0.03862693865464639,lost,-1.0
2016_09_DAL_CLE,2016,9,moneyline,home,,255.0,0.424285017008216,0.1425948761631456,lost,-1.0
2016_09_DAL_CLE,2016,9,spread,home,7.0,-110.0,0.629684477910844,0.1058749541013202,lost,-1.0
2016_09_DAL_CLE,2016,9,total_points,under,49.0,-102.0,0.6610329970122961,0.15608250196279116,won,0.9803921568627451
2016_09_DEN_OAK,2016,9,spread,away,1.0,-115.0,0.5791346595487573,0.044250938618524804,lost,-1.0
2016_09_DET_MIN,2016,9,spread,home,-4.0,-100.0,0.5464454247566626,0.04644542475666258,lost,-1.0
2016_09_IND_GB,2016,9,moneyline,away,,297.0,0.33440790885340216,0.08251874008765908,won,2.97
2016_09_IND_GB,2016,9,total_points,under,52.0,101.0,0.6565415611209477,0.15902912331000246,lost,-1.0
2016_09_JAX_KC,2016,9,spread,home,-7.0,106.0,0.5567361146706019,0.07129922146671841,lost,-1.0
2016_09_JAX_KC,2016,9,total_points,over,42.5,-105.0,0.6187161197929077,0.10652099784168823,lost,-1.0
2016_09_NO_SF,2016,9,moneyline,home,,190.0,0.4586874514489967,0.11385986524210012,lost,-1.0
2016_09_NO_SF,2016,9,spread,home,5.0,-107.0,0.5979169041512106,0.08100869159082413,lost,-1.0
2016_09_NO_SF,2016,9,total_points,under,53.0,102.0,0.5843344958731952,0.08928499092270015,lost,-1.0
2016_09_NYJ_MIA,2016,9,moneyline,away,,171.0,0.5173094452022053,0.14830575516530498,lost,-1.0
2016_09_NYJ_MIA,2016,9,spread,away,3.5,-100.0,0.6205607179044574,0.12056071790445744,lost,-1.0
2016_09_NYJ_MIA,2016,9,total_points,under,45.0,-110.0,0.5590671403782207,0.03525761656869686,lost,-1.0
2016_09_PHI_NYG,2016,9,moneyline,away,,135.0,0.4691915888261277,0.04365967393251069,lost,-1.0
2016_09_PHI_NYG,2016,9,total_points,over,42.5,108.0,0.6729756550390904,0.19220642426985962,won,1.08
2016_09_TEN_SD,2016,9,total_points,under,47.5,102.0,0.5342409709435195,0.03919146599302448,lost,-1.0
2016_10_CLE_BAL,2016,10,moneyline,away,,301.0,0.3213889078632856,0.07201234925979433,lost,-1.0
2016_10_CHI_TB,2016,10,moneyline,home,,131.0,0.5435455726874997,0.1106451397870668,won,1.31
2016_10_CHI_TB,2016,10,spread,home,2.5,106.0,0.6066681984703959,0.12123130526651238,won,1.06
2016_10_DAL_PIT,2016,10,total_points,under,50.5,-115.0,0.700561625723428,0.16567790479319544,lost,-1.0
2016_10_DEN_NO,2016,10,moneyline,away,,136.0,0.560852765950835,0.13712395239151298,won,1.36
2016_10_DEN_NO,2016,10,spread,away,3.0,-110.0,0.6459150981236235,0.12210557431409963,won,0.9090909090909091
2016_10_GB_TEN,2016,10,total_points,under,48.5,-102.0,0.5958407833329679,0.0908902882834629,lost,-1.0
2016_10_HOU_JAX,2016,10,moneyline,away,,141.0,0.5357643548971928,0.12082659556109315,won,1.41
2016_10_HOU_JAX,2016,10,spread,away,3.0,-102.0,0.6245614071264699,0.11961091207696495,won,0.9803921568627451
2016_10_HOU_JAX,2016,10,total_points,over,42.0,105.0,0.5605788859688582,0.07277400792007771,won,1.05
2016_10_KC_CAR,2016,10,total_points,over,44.0,-105.0,0.5703929022513609,0.05819778030014133,lost,-1.0
2016_10_LA_NYJ,2016,10,moneyline,home,,104.0,0.6076352632655713,0.11743918483419874,lost,-1.0
2016_10_LA_NYJ,2016,10,spread,home,1.0,-102.0,0.6417284604957747,0.13677796544626974,lost,-1.0
2016_10_LA_NYJ,2016,10,total_points,over,39.0,-117.0,0.5833903146449179,0.04421980773247547,lost,-1.0
2016_10_MIA_SD,2016,10,moneyline,away,,178.0,0.4226403784312192,0.06292814821539189,won,1.78
2016_10_MIA_SD,2016,10,total_points,under,48.5,-105.0,0.5651664540136008,0.05297133206238125,lost,-1.0
2016_10_MIN_WAS,2016,10,moneyline,away,,131.0,0.5046992519418549,0.07179881904142205,lost,-1.0
2016_10_MIN_WAS,2016,10,spread,away,2.5,106.0,0.5736821137947601,0.08824522059087658,lost,-1.0
2016_10_SEA_NE,2016,10,moneyline,away,,273.0,0.40114333770123745,0.13304682295592912,won,2.73
