event_id,week,market,player,selection,line,odds,model_probability,edge,outcome,actual,profit
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Tyrod Taylor,under,5.5,-104.0,0.77675,0.26694607843137264,lost,8.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Rachaad White,over,24.5,-104.0,0.70775,0.19794607843137257,lost,12.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Breece Hall,under,58.5,-105.0,0.5800000000000001,0.06780487804878055,won,21.0,0.9523809523809523
02522f48a7b7e7524881c1b1638cd94d,3,field_goals,Chase McLaughlin,over,1.5,-105.0,0.58425,0.07205487804878052,won,5.0,0.9523809523809523
02522f48a7b7e7524881c1b1638cd94d,3,pass_completions,Tyrod Taylor,under,17.5,-105.0,0.81475,0.30255487804878045,lost,26.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,pass_longest_completion,Tyrod Taylor,under,31.5,-108.0,0.67625,0.15701923076923074,won,20.0,0.9259259259259259
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Mason Taylor,under,22.5,-109.0,0.82475,0.30321889952153114,won,18.0,0.9174311926605505
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Rachaad White,over,8.5,-110.0,0.84675,0.32294047619047617,lost,2.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Rachaad White,over,1.5,-110.0,0.865,0.34119047619047616,lost,1.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Bucky Irving,under,67.5,-110.0,0.62975,0.1059404761904762,won,66.0,0.9090909090909091
02522f48a7b7e7524881c1b1638cd94d,3,reception_longest,Breece Hall,over,11.5,-110.0,0.61775,0.09394047619047619,won,12.0,0.9090909090909091
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,192.5,-111.0,0.81475,0.2886836492890995,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,SirVocea Dennis,under,6.5,-111.0,0.78775,0.2616836492890995,won,3.0,0.9009009009009009
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Tyler Johnson,over,19.5,-112.0,0.591,0.06269811320754715,won,32.0,0.8928571428571429
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Tyrod Taylor,under,27.5,-112.0,0.7275,0.1991981132075472,lost,48.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Sterling Shepard,under,25.5,-112.0,0.609,0.08069811320754716,lost,80.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Mason Taylor,under,21.5,-112.0,0.8095,0.2811981132075472,won,18.0,0.8928571428571429
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,21.5,-112.0,0.6445,0.11619811320754714,won,31.0,0.8928571428571429
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Bucky Irving,under,69.5,-112.0,0.647,0.1186981132075472,won,66.0,0.8928571428571429
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,186.5,-112.0,0.804,0.2756981132075472,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Tyrod Taylor,under,26.5,-113.0,0.7155,0.1849835680751174,lost,48.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,22.5,-114.0,0.6255,0.09278971962616822,won,31.0,0.8771929824561403
02522f48a7b7e7524881c1b1638cd94d,3,reception_longest,Mason Taylor,under,12.5,-114.0,0.72075,0.18803971962616828,won,10.0,0.8771929824561403
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,188.5,-114.0,0.8075,0.27478971962616827,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Rachaad White,over,9.5,-114.0,0.82525,0.2925397196261683,lost,2.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Baker Mayfield,under,18.5,-114.0,0.6735,0.14078971962616826,lost,44.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Bucky Irving,under,68.5,-114.0,0.6385000000000001,0.10578971962616834,won,66.0,0.8771929824561403
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,190.5,-115.0,0.812,0.27711627906976755,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_longest,Sterling Shepard,under,14.5,-115.0,0.6054999999999999,0.07061627906976742,lost,24.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_longest,Baker Mayfield,under,10.5,-115.0,0.7010000000000001,0.16611627906976756,lost,33.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Garrett Wilson,under,68.5,-115.0,0.6094999999999999,0.07461627906976742,lost,84.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Mike Evans,under,5.5,-118.0,0.6094999999999999,0.06821559633027519,won,4.0,0.847457627118644
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,19.5,-118.0,0.6765,0.13521559633027525,won,31.0,0.847457627118644
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Mason Taylor,under,20.5,-118.0,0.79575,0.2544655963302752,won,18.0,0.847457627118644
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,187.5,-118.0,0.80525,0.2639655963302753,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Baker Mayfield,under,16.5,-118.0,0.62025,0.07896559633027522,lost,44.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Lavonte David,under,8.5,-120.0,0.72375,0.1782954545454546,lost,11.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,pass_interceptions,Baker Mayfield,over,0.5,-120.0,0.744,0.19854545454545458,lost,0.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Tyrod Taylor,under,22.5,-120.0,0.65025,0.10479545454545458,lost,48.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_longest,Rachaad White,over,6.5,-125.0,0.82875,0.2731944444444444,lost,2.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Rachaad White,over,5.5,-125.0,0.832,0.2764444444444444,lost,5.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Breece Hall,under,15.5,-125.0,0.71625,0.16069444444444447,won,9.0,0.8
02522f48a7b7e7524881c1b1638cd94d,3,pass_completions,Tyrod Taylor,under,18.5,-127.0,0.8342499999999999,0.2747786343612334,lost,26.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Bucky Irving,under,16.5,-127.0,0.785,0.2255286343612335,lost,25.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,20.5,-130.0,0.65925,0.09403260869565222,won,31.0,0.7692307692307693
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Mason Taylor,under,25.5,-130.0,0.857,0.2917826086956522,won,18.0,0.7692307692307693
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Mason Taylor,under,2.5,-130.0,0.92125,0.35603260869565223,lost,4.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Rachaad White,over,22.5,-130.0,0.741,0.1757826086956522,lost,12.0,-1.0
