season,sel,market,profit
2023,under,rush_longest,0.9090909090909091
2023,under,rush_longest,0.9090909090909091
2023,under,rush_yards,-1.0
2023,under,pass_tds,0.9090909090909091
2023,over,rush_attempts,0.9009009009009009
2023,under,reception_yards,0.9009009009009009
2023,over,tackles_assists,-1.0
2023,over,reception_longest,-1.0
2023,over,reception_yards,0.8928571428571429
2023,over,reception_yards,0.8928571428571429
2023,over,reception_longest,0.8849557522123894
2023,under,pass_yards,-1.0
2023,under,rush_yards,0.8849557522123894
2023,under,rush_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,pass_longest_completion,0.8849557522123894
2023,over,reception_longest,-1.0
2023,under,reception_longest,0.8771929824561403
2023,over,pass_attempts,0.8771929824561403
2023,over,reception_longest,-1.0
2023,under,reception_longest,0.8771929824561403
2023,under,reception_longest,0.8771929824561403
2023,over,reception_longest,-1.0
2023,under,reception_longest,-1.0
2023,over,reception_longest,0.8771929824561403
2023,under,pass_yards,0.8771929824561403
2023,over,pass_yards,-1.0
2023,under,rush_yards,-1.0
2023,over,rush_yards,0.8771929824561403
2023,over,receptions,-1.0
2023,under,reception_yards,0.8771929824561403
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.8771929824561403
2023,over,reception_yards,-1.0
2023,under,pass_longest_completion,0.8771929824561403
2023,over,pass_longest_completion,-1.0
2023,over,tackles_assists,-1.0
2023,under,tackles_assists,0.8771929824561403
2023,over,tackles_assists,0.8771929824561403
2023,over,tackles_assists,0.8771929824561403
2023,under,reception_longest,-1.0
2023,under,rush_attempts,-1.0
2023,over,reception_longest,0.8771929824561403
2023,under,rush_attempts,0.8771929824561403
2023,over,rush_longest,0.8771929824561403
2023,over,rush_longest,-1.0
2023,under,reception_longest,-1.0
2023,over,reception_longest,0.8771929824561403
2023,over,reception_longest,0.8771929824561403
2023,over,rush_longest,0.8771929824561403
2023,over,rush_attempts,-1.0
2023,under,rush_longest,-1.0
2023,under,rush_longest,0.8771929824561403
2023,over,rush_longest,-1.0
2023,over,pass_yards,0.8695652173913043
2023,under,reception_longest,0.8695652173913043
2023,over,reception_longest,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.8695652173913043
2023,over,rush_yards,-1.0
2023,under,rush_yards,-1.0
2023,under,reception_longest,0.8695652173913043
2023,under,receptions,0.8695652173913043
2023,over,receptions,0.8695652173913043
2023,over,pass_yards,-1.0
2023,under,pass_yards,0.8695652173913043
2023,over,rush_yards,-1.0
2023,over,pass_longest_completion,-1.0
2023,under,reception_yards,-1.0
2023,over,pass_yards,0.8695652173913043
2023,over,reception_yards,-1.0
2023,under,pass_yards,-1.0
2023,over,rush_yards,0.8695652173913043
2023,over,reception_yards,0.8695652173913043
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,0.8695652173913043
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,under,rush_yards,0.8695652173913043
2023,over,rush_longest,0.8695652173913043
2023,under,rush_longest,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.8695652173913043
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.8547008547008547
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.847457627118644
2023,over,reception_yards,-1.0
2023,over,reception_yards,0.847457627118644
2023,under,reception_longest,0.8403361344537815
2023,over,receptions,-1.0
2023,over,pass_attempts,0.8333333333333334
2023,under,tackles_assists,0.8333333333333334
2023,under,reception_yards,0.8333333333333334
2023,under,receptions,-1.0
2023,over,reception_yards,0.8333333333333334
2023,under,rush_attempts,-1.0
2023,over,rush_longest,-1.0
2023,under,rush_longest,-1.0
2023,over,rush_longest,-1.0
2023,under,rush_yards,-1.0
2023,over,tackles_assists,-1.0
2023,over,reception_longest,0.8130081300813008
2023,over,rush_yards,0.8064516129032258
2023,under,pass_yards,-1.0
2023,under,pass_attempts,-1.0
2023,over,pass_attempts,0.8
2023,under,pass_completions,-1.0
2023,under,field_goals,0.8
2023,under,rush_longest,0.8
2023,under,reception_yards,0.8
2023,over,reception_longest,0.8
2023,under,rush_longest,-1.0
2023,over,kicking_points,0.7874015748031497
2023,over,pass_completions,0.7751937984496124
2023,over,reception_yards,-1.0
2023,over,receptions,0.7692307692307693
2023,under,pass_yards,0.7692307692307693
2023,under,pass_yards,0.7692307692307693
2023,under,rush_attempts,0.7692307692307693
2023,over,kicking_points,-1.0
2023,over,rush_longest,0.7692307692307693
2023,under,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,tackles_assists,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,tackles_assists,-1.0
2023,over,tackles_assists,-1.0
2023,under,pass_interceptions,-1.0
2023,under,reception_yards,0.7194244604316546
2023,over,rush_attempts,-1.0
2023,over,tackles_assists,-1.0
2023,under,receptions,0.6993006993006993
2023,under,rush_yards,0.6993006993006993
2023,over,pass_interceptions,-1.0
2023,over,rush_attempts,-1.0
2023,under,rush_attempts,0.6756756756756757
2023,under,reception_yards,0.6578947368421053
2023,under,reception_yards,-1.0
2023,over,receptions,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,rush_longest,0.625
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,receptions,4.6
2023,over,pass_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_tds,-1.0
2023,under,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,pass_yards,-1.0
2023,over,rush_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,pass_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,pass_tds,3.3
2023,over,reception_yards,3.25
2023,over,receptions,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,3.2
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,reception_yards,3.0
2023,over,receptions,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,pass_completions,-1.0
2023,under,rush_yards,-1.0
2023,over,pass_yards,2.75
2023,over,rush_yards,-1.0
2023,under,receptions,-1.0
2023,under,pass_yards,-1.0
2023,over,receptions,2.5
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,pass_completions,2.25
2023,over,reception_yards,2.25
2023,over,pass_yards,2.25
2023,over,anytime_td,2.2
2023,under,reception_yards,-1.0
2023,over,receptions,2.2
2023,under,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,2.15
2023,under,rush_yards,2.15
2023,under,rush_yards,2.1
2023,over,reception_yards,2.1
2023,over,receptions,-1.0
2023,under,pass_completions,-1.0
2023,under,receptions,1.95
2023,over,anytime_td,1.95
2023,over,anytime_td,-1.0
2023,under,reception_yards,1.8
2023,under,pass_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,anytime_td,1.8
2023,over,receptions,-1.0
2023,over,receptions,-1.0
2023,under,pass_completions,1.65
2023,over,reception_yards,1.6
2023,under,rush_yards,-1.0
2023,over,reception_yards,1.55
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_yards,1.5
2023,over,reception_yards,1.5
2023,over,reception_yards,1.45
2023,over,reception_yards,1.43
2023,over,receptions,-1.0
2023,under,tackles_assists,1.4
2023,over,anytime_td,-1.0
2023,over,receptions,1.38
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,1.35
2023,over,rush_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,rush_attempts,-1.0
2023,under,receptions,-1.0
2023,over,receptions,1.3
2023,under,tackles_assists,-1.0
2023,over,tackles_assists,-1.0
2023,under,pass_yards,-1.0
2023,over,tackles_assists,1.26
2023,under,tackles_assists,1.25
2023,over,field_goals,1.23
2023,over,receptions,1.23
2023,under,tackles_assists,-1.0
2023,under,receptions,-1.0
2023,under,pass_tds,-1.0
2023,under,reception_yards,1.17
2023,under,reception_yards,-1.0
2023,over,pass_yards,1.16
2023,over,reception_yards,-1.0
2023,over,pass_tds,-1.0
2023,over,field_goals,-1.0
2023,over,reception_yards,1.12
2023,under,reception_longest,1.12
2023,over,tackles_assists,-1.0
2023,under,tackles_assists,1.1
2023,over,pass_attempts,1.1
2023,over,reception_longest,-1.0
2023,over,rush_yards,-1.0
2023,under,rush_yards,1.1
2023,under,rush_yards,1.08
2023,under,rush_yards,1.08
2023,under,pass_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,kicking_points,1.05
2023,over,tackles_assists,-1.0
2023,under,receptions,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_attempts,-1.0
2023,under,reception_yards,1.05
2023,over,reception_yards,-1.0
2023,under,rush_attempts,-1.0
2023,under,rush_attempts,1.02
2023,under,reception_yards,1.02
2023,over,tackles_assists,-1.0
2023,over,anytime_td,1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,1.0
2023,under,reception_yards,-1.0
2023,over,pass_completions,-1.0
2023,under,pass_yards,-1.0
2023,under,receptions,1.0
2023,under,rush_attempts,1.0
2023,over,receptions,-1.0
2023,over,rush_attempts,-1.0
2023,over,reception_yards,1.0
